theta_arcsec,intensity,enclosed_fraction
0,0.12508453806411868,0
0.005,0.125067135327021,0.00011330856653760252
0.01,0.12501494317979153,0.00045314019811819176
0.015,0.12492800978820416,0.0010192107865156827
0.02,0.12480641534055104,0.0018110482290292545
0.025,0.12465027191587319,0.0028279939133817214
0.03,0.12445972329992473,0.004069195541005257
0.035,0.1242349447493223,0.005533631728081963
0.04,0.12397614270444314,0.007220072119181063
0.045,0.1236835544517661,0.00912713467615937
0.05,0.12335744773646552,0.011253217539600516
0.055,0.12299812032619233,0.01359659884820031
0.06,0.12260589952707929,0.016155318420025704
0.065,0.12218114165313719,0.01892728250521941
0.07,0.12172423145029439,0.021910213322885914
0.075,0.121235581476462,0.025101688740837878
0.08,0.12071563143907794,0.02849911128498783
0.085,0.12016484749170553,0.03209970794468324
0.09,0.11958372149133017,0.03590055235217305
0.095,0.11897277021809917,0.03989865709094505
0.1,0.11833253455931488,0.04409073687406843
0.105,0.11766357865957926,0.04847346490518722
0.11,0.11696648903904339,0.05304339943330655
0.115,0.11624187368178425,0.05779695050967999
0.12,0.11549036109638518,0.06273025407005033
0.125,0.11471259935084682,0.06783957170746467
0.13,0.11390925508399401,0.07312096533387798
0.135,0.11308101249558562,0.07857026386508717
0.14,0.11222857231736273,0.08418331147359633
0.145,0.11135265076728941,0.08995588397408988
0.15,0.11045397848926629,0.09588354547720551
0.155,0.10953329948059444,0.10196180778968969
0.16,0.10859137000949053,0.10818624958360433
0.165,0.10762895752491403,0.114552297576473
0.17,0.1066468395610237,0.12105511115669046
0.17500000000000002,0.10564580263848224,0.12769008524598074
0.18,0.1046266411648616,0.13445245849877002
0.185,0.1035901563363848,0.14133723857174924
0.19,0.10253715504315047,0.14833972541591148
0.195,0.10146844878003386,0.15545495275391757
0.2,0.10038485256525644,0.16267798547346704
0.20500000000000002,0.09928718386870648,0.17000382568892117
0.21,0.09817626155235949,0.1774274956996489
0.215,0.09705290482350477,0.18494398279790117
0.22,0.0959179322048654,0.19254838828017962
0.225,0.09477216052171115,0.20023555129617407
0.23,0.09361640390587239,0.2080007179889393
0.23500000000000001,0.09245147282526193,0.21583871478714273
0.24,0.09127817313003933,0.22374477049446098
0.245,0.09009730512719673,0.23171372328591366
0.25,0.08890966267950812,0.23974081666665154
0.255,0.08771603232753733,0.24782107542164372
0.26,0.08651719244215117,0.25594973467067744
0.265,0.08531391241150665,0.2641220057140336
0.27,0.08410695184392623,0.2723331038707475
