ra,dec,phot_g_mean_mag,bp_rp
309.26048496297557,-89.74304248553861,12.517427,1.4383545
354.4501531946446,-89.64473276030385,12.775105,0.9737797
328.0093489305506,-89.56303910186132,12.545178,1.2730541
302.92284688833234,-89.45207844337509,12.8759985,0.72535515
305.7930064958971,-89.35237395673623,11.784386,0.8069353
282.8855922011409,-89.25029138123715,12.440013,1.3366632
311.8342353625502,-88.68528675391919,12.945275,0.9968767
349.58124840893726,-88.58031226950261,12.819335,1.1730633
343.5636576001114,-88.61838758533327,11.97235,1.4327116
347.9573408480451,-88.52447544209046,11.914991,0.8341036
345.9166145169909,-88.5371810516633,11.100526,2.9347744
335.84871661135423,-88.60006897280515,12.720176,0.8553829
327.9945379534585,-88.49413438838826,12.49829,0.96999836
327.33841022113467,-88.11101751399077,12.84724,0.7809553
272.1771878067929,-88.95449677508846,12.016195,0.7566433
305.87060914117103,-88.52819960202497,11.471776,1.4026823
307.7704939128542,-88.40706555512394,10.5656805,1.1286087
279.19781929772546,-88.74462282261727,12.690742,0.9608326
275.4608755158622,-88.4617595797461,12.824327,1.7827835
294.98021606062485,-88.2592620387773,12.4785595,1.469059
294.35457338955104,-88.01511713412756,12.57797,1.5875931
314.4025024578182,-88.41727857709061,11.650118,0.98287964
322.3247308298807,-88.05954767475615,12.915405,1.2893934
327.2330685930727,-87.88021148166261,12.417395,0.8859434
319.5171780108789,-87.58692665244367,11.826561,1.8763762
307.65099509291457,-88.10583015295595,11.497688,1.0524654
315.43704631390364,-87.75109652471238,11.938889,0.9126339
350.96152333677026,-88.28312100347696,12.592682,0.8469105
352.9272466287781,-87.83078629740501,10.798587,0.68466187
351.0505667840194,-87.71379983487604,12.994785,1.2495356
340.1373713636458,-87.70791369867484,12.020847,0.7415333
335.45460029767366,-87.80640799461092,9.0792885,0.8703766
335.9079482475676,-87.67059804820008,11.786318,0.83479786
338.7414726998373,-87.46688022547005,12.167412,0.8677759
357.04947582939207,-87.65328226724482,12.619353,0.23320675
359.7263788987452,-87.5427212775141,12.150846,0.826869
349.79388375409764,-87.03723862474762,8.961408,3.727057
351.60193066981617,-86.78425103269215,12.720753,0.96753407
343.7810617517208,-87.2114205862648,12.527644,0.8071995
340.81563706238484,-87.13487556017402,12.668594,1.3169336
342.785424934825,-87.07190063156347,12.346833,1.590291
341.88625251423406,-86.98915734210657,12.732896,0.92552376
346.4955940184062,-86.59997905448039,12.124791,1.5043249
343.75143374494564,-86.44652955977153,10.846173,1.6416664
331.7448321525447,-87.45688815909514,12.417174,0.74018383
325.3315371383161,-87.37211875156962,12.215905,1.1795092
327.1743943909348,-87.3612075415554,12.81615,1.228797
327.02895413501307,-87.33618265891037,11.717241,0.8221121
324.75535297883437,-87.18914896688305,11.810676,0.97469616
324.7781870404533,-87.01963650779265,9.836609,1.7261276
321.4861252371822,-87.06542482238385,11.690097,1.7140951
319.10623045322717,-86.84605803077984,12.102726,1.5548315
322.81194502225827,-86.7765444774082,12.722426,1.5157309
322.3780689537135,-86.73473554222056,12.875015,0.84926414
335.9844371671422,-86.89858881830098,11.001415,1.2279882
331.75991299436026,-86.63644566552644,10.616808,0.78341293
337.67706877187067,-86.15535783065893,12.622128,0.9479885
336.1314191915727,-86.090893488223,12.950323,1.2154827
334.64480155837134,-86.0506432039182,12.048649,1.2923603
274.1498136993345,-88.2913891999847,12.300226,1.0151577
282.6552121735082,-88.17345873824847,10.550664,0.83525944
275.3279456536418,-88.02009325962642,11.964103,0.8639927
277.53528872856646,-87.8282814247837,9.777031,0.64331627
279.66115221230086,-87.65349870335716,12.994205,1.4472399
277.9594337604922,-87.63745605097031,12.419811,1.358141
284.983523179301,-87.75405126736301,12.558355,1.4000559
284.84894532726514,-87.40915781116654,12.893522,0.85977364
307.5437342037351,-87.3772702847297,11.518039,1.7148848
309.13482353138187,-86.78010996293033,10.832524,0.88016796
298.6860638988079,-87.29501529351933,12.96346,1.1100636
298.63035900283523,-86.94110843124888,10.962458,0.78985596
299.6196582989741,-86.83216955244177,7.924626,1.9335113
303.38601224782843,-86.98192163709894,12.418758,0.80426884
305.5540038564106,-86.9739588039717,12.509625,1.3404627
282.5759175786824,-87.26993976219343,12.904147,0.9276972
288.1958422709736,-86.94490699219098,12.464131,0.84342575
274.9101493361335,-87.2536653986361,12.872736,1.3415365
274.3068613546809,-87.09399448741715,11.552584,0.94643307
285.1183780160966,-86.57742742181865,11.91995,1.4203386
300.97140061265077,-86.32321475995475,10.953306,1.8514948
291.52503086832706,-86.38583784314076,10.520153,0.64247036
313.88268366208956,-86.94064434058829,11.908768,0.9845991
314.38120109358607,-86.610534343011,12.453754,0.8610201
315.9169081951772,-86.44262569019945,12.823207,0.8774538
322.3576313639436,-86.27583190979375,12.1482725,1.6625175
308.98823370518124,-86.33836881143247,12.91374,1.2444
315.25015016809584,-86.16489047056187,12.099207,0.7761326
315.24741094310787,-85.80835187954838,12.496819,0.8461695
322.407553389882,-86.09455903756276,10.847728,1.5322561
320.8897467211462,-85.95313388744086,11.985887,0.86822987
322.45163636930107,-85.69130308697679,12.114924,1.0495548
327.1373244227033,-85.78931515754479,9.818568,1.1502781
328.06039854053876,-85.6426147351395,12.820394,1.446846
323.4774259099801,-85.30162277607502,12.478339,0.8216896
320.5015459378251,-85.35724714064281,12.452862,1.1135206
320.3094256043294,-85.1452647506767,12.723287,0.9870596
305.51006979340957,-86.13579602118585,12.61347,0.8978281
313.53084101149835,-85.62919978920817,11.310645,1.4913435
312.529023348773,-85.64545733367373,12.899814,1.0799179
313.7152940871699,-85.55705485739747,12.652869,1.3353758
308.70791996980654,-85.66662593060789,9.867209,0.7514868
303.3943560317746,-85.8120487081659,12.458292,0.9496298
302.6412846148739,-85.43517663717542,12.338709,0.95327187
304.3885831112175,-85.4076285245845,10.626125,1.6139078
307.25856893311897,-85.54438029328293,12.756265,1.6535053
315.7520637776002,-85.14179624953215,10.390039,1.3732681
320.60720437370367,-84.9054373849912,12.817248,1.3806734
316.9793771953169,-84.84009152347868,12.506789,1.0789919
316.65683712098706,-84.64432395092206,12.811342,1.3410234
316.9430724334033,-84.62846285807424,10.416738,0.94226074
313.57381219023773,-84.50277222185635,12.281218,0.93938065
356.08782092602434,-86.4772899706079,12.606441,0.79363155
353.2676673966126,-86.26536385313085,11.994744,1.0880251
354.52365540728516,-86.23186124968444,12.449878,1.2308722
344.5344981879192,-86.29199526539021,10.730123,0.81822586
346.02575976508297,-86.28995025251788,10.72393,1.5644722
344.75802969621907,-86.2140652622021,12.957959,0.79597855
347.94858277013844,-86.06793963500547,12.732283,0.92429256
358.15533329729675,-85.83738442322624,9.853674,0.67480946
356.61341872185403,-85.78251151823706,12.21951,0.86376286
341.82631974585627,-85.97709670019788,12.084091,0.92294025
340.54071534272964,-85.87331379357755,9.431992,2.1401367
342.93496626204444,-85.63790955471151,12.324201,1.0713072
340.6418213848948,-85.44691652651117,12.208527,1.2173843
340.52324278670915,-85.40196835621573,8.196774,1.3393807
336.407783818166,-85.13353185337796,10.147949,1.3754301
341.94568166881857,-85.24498796876487,10.289361,1.9112549
340.8520907136665,-84.90208156074837,10.017543,0.7852049
344.35711978680195,-85.1196972091616,9.706417,1.2689638
338.73695333098163,-84.8859880998185,11.051219,1.234088
336.1160565372859,-84.9542521590103,11.152443,0.7999716
337.3387428689773,-84.48512565411241,12.722476,0.83538246
350.0224697270817,-84.75592769866797,11.160048,0.8568077
350.14053751445704,-84.59137853091626,12.917444,1.7566729
349.53794479541955,-84.59297997482987,12.918321,1.2517414
358.7767685676959,-84.12759713658343,12.938144,
349.7585870711226,-83.65596478811443,12.788861,1.5913429
350.21645076583786,-83.50343484488513,10.533211,0.89981365
342.50349590975463,-84.53037786138185,11.573079,1.3419199
342.6655856746571,-84.19114147734533,10.483679,1.4304171
340.43621952719906,-83.94929867444563,12.081361,0.9782152
338.5402006323217,-83.9546618394325,10.705683,0.6822891
341.6422178150884,-84.02686299721648,12.767943,1.0403042
348.04007411975465,-84.05668795769687,12.05149,0.8302717
342.56888723092413,-83.05686183907041,11.552593,1.4775639
328.59168629883027,-85.03350396180298,6.2862816,1.2632604
331.973158886433,-84.72542673006382,12.693365,0.8834791
327.4625217692224,-84.87086876469083,11.4786,0.87901497
323.613953379193,-84.97641454847503,11.555374,0.53469944
324.763227755059,-84.84150879896647,11.4452,1.4752283
324.5034429101679,-84.81350367782913,9.131514,1.4690466
324.5421469553891,-84.58329074825836,11.286169,0.8332329
326.85482185267006,-84.26988241046163,12.220615,1.91537
332.5958182547335,-84.69358434336957,12.91497,1.1985903
331.7906419413956,-83.89663140131174,12.811274,1.5715256
329.2607005054786,-83.62757061924965,12.782954,0.77601814
322.650732491332,-84.24585670336066,11.495272,1.3671179
321.4529691889728,-84.17135394867519,11.889869,0.9985037
321.6980487604652,-84.00863358882386,11.7663765,0.8067379
315.92541283149444,-84.22666057152581,12.048046,1.4255667
320.9899133345506,-83.73924953932136,11.435648,1.4524813
320.25090608074674,-83.69065067961,12.891728,1.4667244
327.71523489329155,-83.7484029526745,12.56043,1.2296782
325.18983356598545,-83.42580046708062,10.682989,0.82173634
324.78160484437103,-83.37080472816479,9.807771,0.5594692
324.6082121793907,-83.29960754794195,11.260851,1.2078581
325.3595420485786,-83.11618324098376,12.011313,1.0244875
324.89640003485204,-83.06521803378821,10.16735,1.3451338
323.9298019571444,-83.05400687882018,12.776171,0.93830585
