ra,dec,phot_g_mean_mag,bp_rp
101.18908472688182,-9.488673329844417,11.788807,1.3767614
101.27011119318752,-9.389751207124096,12.474812,1.6281452
101.44901318755232,-9.364816238559163,12.956988,1.6716709
101.395565595684,-9.169992056238518,12.488001,1.9527941
101.530817472907,-9.159605581224522,11.215219,0.72849846
101.49451778816274,-9.120792972098027,12.26418,1.0528021
101.77189398191871,-9.002761753756975,9.668515,0.36083984
101.40787089278528,-9.05941421340279,12.539863,0.72639656
101.1076709471702,-9.081277552533844,12.141982,0.7909956
101.11769445589475,-9.036743329269857,11.3119755,0.5093565
101.01677579677862,-9.087977602566006,11.390449,0.63786316
100.79009343487702,-9.065629264340293,12.857148,2.2596254
101.05314889668884,-8.843028712554618,12.070264,2.135294
101.38670309075641,-8.688196282255333,12.533859,0.44052124
101.96969080184577,-8.811139310817547,11.29151,0.691432
102.20283029703621,-8.648168918534312,10.118977,3.9589834
101.91631942663265,-8.635468124326286,12.264363,0.44156456
102.44557400438573,-8.550000053145421,11.372585,1.5166779
102.39808592037411,-8.426385372571914,12.7377405,0.55592346
102.34483384729742,-8.395389860724087,12.36074,1.8383799
102.19328021536478,-8.419760225069881,11.674078,0.7283106
102.22946600750164,-8.193641298461829,11.431408,0.5738287
101.62167370897188,-8.395039719034331,12.654704,0.41338825
101.52653800983305,-8.42520320738387,12.975562,0.7856474
101.50779616828689,-8.36455218519243,12.609554,2.3043423
101.89277952555453,-8.235467571021124,10.612671,2.4017553
102.12853547159965,-8.136384351614783,12.864025,0.70371056
102.16515966879558,-8.115828879968545,11.701221,1.628829
101.99673680906963,-8.088706162988311,12.964445,1.2256851
102.14378853394678,-7.9738191511386205,12.507822,1.9454927
101.9504833408742,-7.89253863357985,11.062256,1.4925089
100.42196439289789,-8.670939196004415,12.559197,
100.49287330905737,-8.632777236110185,10.522804,0.055584908
101.10611245064304,-8.362969666431047,12.079116,1.7858562
100.67765441852788,-8.457617256420896,12.087076,2.3909683
100.85732605289549,-8.401506763088342,12.781535,1.2316284
100.30954995348068,-8.289660343818628,12.126567,0.87201214
100.10205510283377,-8.392744078579305,12.522938,1.4064531
100.59399023855588,-8.20006874673802,12.974267,0.6271143
100.47221366793872,-8.197716566329788,12.595541,0.8798208
100.34397630018447,-7.9623560752736795,12.507865,0.49596024
100.5604360689027,-7.79705408236917,12.120801,0.40975857
101.31920878446486,-8.196029703118146,12.934815,1.6020622
101.00921880311286,-7.99608689494433,11.864362,0.49359035
101.55118287740537,-8.002558887114988,11.74225,0.80641365
101.67389350560117,-7.995208197854824,12.512619,0.77254486
101.72293789663766,-7.900349725118674,11.783488,0.38800716
101.658053476095,-7.723254166836862,9.851202,1.1730204
101.67657191571797,-7.56760429214221,12.66225,1.8848572
100.94874986918369,-7.895741253597011,12.819812,1.477047
100.71786328091791,-7.768687843965774,12.441935,0.5151129
101.02537070247637,-7.601486018115365,12.118019,0.38850784
100.80261529381453,-7.659948849808462,12.628229,1.8133202
101.2786798362358,-7.361660892952673,12.355291,0.69035816
101.21722379830405,-7.347516933202397,11.637204,0.642189
101.29727776723564,-7.285427056935101,12.631133,0.7225189
102.71250260658837,-8.231133097921338,11.412946,1.8588057
102.59858296519782,-8.149380138154187,12.592962,0.77951336
102.52922695895495,-8.183905229661647,12.975625,0.9060097
102.50074871493523,-8.142545628181109,11.974842,0.44122982
102.48199369086166,-8.111450103108426,10.669328,0.6937485
102.5954435105111,-7.920938548535735,12.806651,0.8958235
102.51176913237418,-7.950827448864419,11.911762,0.83176804
102.60064060858022,-7.8373746846675045,12.750298,1.5584154
103.00750016070793,-8.081235109945204,10.350806,1.7902069
103.09209981496387,-7.879230174593369,11.244708,1.4457607
102.92724284617597,-7.86492982617959,12.876645,0.7472153
103.32577256101662,-7.7813356087285275,12.904563,0.8250818
103.18814652139895,-7.786211271081847,12.788932,0.8154545
103.08723118562044,-7.613137822591614,12.814599,0.6291218
102.37538632905681,-7.736396670171103,12.972412,1.8728456
102.07330539920413,-7.808667166968173,11.761583,0.23101044
102.26404155321907,-7.7094921904081435,12.761394,1.5900517
102.48589586503232,-7.499894813884168,10.98679,2.6338663
102.46688794709348,-7.431472031241845,11.520665,0.6714964
102.62148030723883,-7.426888513475674,10.323545,1.0504217
103.50898829072797,-7.644678830782741,12.762942,0.9406328
103.29291823370694,-7.682610518178851,12.2827635,1.6438932
103.25995290547166,-7.552485267469111,12.5709505,0.87586117
103.1832419285048,-7.481376372000987,10.857071,0.76242924
103.15641596074171,-7.4518224972675355,11.174211,0.9030094
103.77365883322469,-7.371345427244817,11.990205,0.7777271
103.83461101540169,-7.038348561058905,12.928317,0.684885
103.01606775334417,-7.206546769395824,11.167819,1.6913948
103.09499393471587,-7.166757906484729,12.962136,0.6676903
103.14511446061968,-7.082336141912599,12.184467,0.5934534
102.98083577894552,-7.077149688952997,11.606963,0.24916744
103.10141037710345,-7.080787513177274,12.177901,1.8769035
103.5125419596169,-6.9855546012971494,12.936164,0.8696375
103.5561604516802,-6.930923800916351,11.5850935,0.7028599
103.40141142090899,-6.895130587265541,12.798242,1.1791143
103.18734536197107,-6.924456993401961,12.384029,0.6237917
103.31822680497316,-6.873686653302179,12.807084,1.540432
103.20460840170597,-6.820914255107608,12.611736,0.6934223
102.0941380725043,-7.55799335844068,12.9331875,0.6433048
