ra,dec,phot_g_mean_mag,bp_rp
245.3883591246567,-57.25651006192177,12.46261,2.079423
245.33487581534132,-57.235338197732084,12.491578,1.6204681
245.4952880416111,-57.17037201517052,12.407422,0.84526825
245.1632574632994,-57.24635620411638,11.377096,1.452096
245.3487636524019,-57.08431474913388,12.854963,3.6576824
245.34974128242155,-56.93175979901253,11.959511,2.0511465
245.09615776895538,-57.125693097741355,12.286565,0.8271532
245.1263816310469,-57.05854265222839,12.91906,1.0909367
244.99765461013553,-56.99954997203385,12.933919,1.3757124
244.8908735204291,-57.016158786182295,12.861001,1.5480032
244.83275921965614,-56.94144225347194,11.962878,0.22011471
245.21727936594965,-56.97739141974338,11.3712225,0.63932514
245.16743935623458,-56.981580017103596,12.720184,0.4387827
245.05538933378313,-56.74662106734761,11.748122,3.150217
245.7461062204791,-56.8892056343918,12.536448,1.3126535
245.84460678125197,-56.71005058573824,12.29675,1.6153412
245.93611377163307,-56.655611169750905,12.631697,2.5428696
245.7829044432103,-56.63190296164023,11.219718,1.5307856
245.84660339643332,-56.57642886823369,12.277876,1.895628
245.67700182319143,-56.60336558033469,12.723349,2.458949
245.70628306318312,-56.4915517955785,12.915433,1.7116423
245.36611805638884,-56.797167978652546,12.824369,1.4788618
245.27135358884757,-56.71582435786917,12.868782,3.1671047
245.24585379305623,-56.72832551141056,11.519032,0.5268154
245.41922688380077,-56.541837778098,12.76364,1.7218647
245.48716608761353,-56.467212978525744,11.946377,1.8883772
245.21568733755876,-56.40591722739523,12.632047,1.6692114
245.37531773851987,-56.369448802482424,11.614342,0.65671444
244.64981843081742,-56.76197977991993,12.024034,1.5761089
244.8262535154688,-56.67020748249933,12.896762,1.5582447
244.62902430661748,-56.648790788339994,12.210877,1.7965908
244.74599539691928,-56.63523139363371,12.468618,1.6188974
244.7367469045745,-56.52243634580203,12.394976,0.713151
244.17824995591306,-56.68411804522434,12.589902,1.0370617
244.13332394469865,-56.68032275441793,12.541468,2.0392084
244.13650125007888,-56.587120932894855,12.611851,0.6651354
244.22885337145436,-56.478467395142204,12.856923,1.6088915
244.21673572342996,-56.465935813340984,12.928909,1.6206493
244.9338757649876,-56.48126045071707,12.749807,0.69823456
245.04840644067383,-56.529519201619465,10.5865,1.9450436
245.0330963777351,-56.261541864179,11.041423,1.3832417
245.1845883259218,-56.25583305412913,11.593085,1.7741661
244.6304673352389,-56.28515582076332,12.363751,0.6411371
244.434848804862,-56.258355391756105,11.1833515,0.6450319
244.3147321763286,-56.23807391318419,12.168598,1.887105
244.37445643039584,-56.17500412728215,12.387794,4.074709
244.66792169674272,-56.14165060901377,12.932192,1.9700155
245.9571552866748,-56.44152241804035,12.642338,1.117156
245.92862407349784,-56.44876379737675,11.086049,2.425949
245.76487113679482,-56.462853196117926,12.176201,2.1187782
245.85703527460814,-56.316177274719095,12.606494,2.1394882
245.7845642410436,-56.38829228641213,12.408124,0.8542261
245.60907480604496,-56.313179592583076,12.847027,2.246459
245.66240113025304,-56.24959993849553,11.485914,1.6245985
245.62671293362962,-56.20268934117993,12.42455,1.6437378
245.564042921279,-56.20044614942177,12.694595,0.79506207
245.7526754009125,-56.222564215897904,11.703499,1.5479488
245.5833071592471,-56.03949768482288,12.278839,1.8863106
245.50236498438528,-56.02221571311448,12.2241535,1.7259207
245.5917364293175,-55.90547297135822,12.188678,1.5933361
246.24150399552818,-56.237303308608844,12.142332,0.7841873
246.30726726611778,-56.05863050539593,11.768665,0.41174984
246.001203689085,-56.03651120592597,12.669137,1.7810011
246.40547688813515,-56.01867709629124,12.951925,2.0685873
246.22288618244446,-55.756841282393964,12.886633,1.0330114
245.79952604405352,-55.8517888786581,11.674607,1.5512152
245.65003878600547,-55.73432186472889,12.752811,0.72864723
245.8802802602505,-55.560353498280456,10.662967,2.1211348
245.15211696078384,-56.152079464358266,12.888753,2.0123434
245.00344516765185,-56.001724078332096,11.866315,0.8087082
245.0395760958328,-55.94635623498192,12.092399,2.1076279
245.34334290519038,-55.93375291628667,12.894228,2.5275717
245.39618063676704,-55.80146145620767,11.442791,0.6893234
245.38794102008134,-55.79925884446313,12.354448,2.0225983
244.91945977468194,-56.002443509003776,12.443957,2.787506
244.98108596266715,-55.84734533717278,12.614103,3.3330994
244.86388348356894,-55.882363814988786,9.982327,0.3079939
244.82368473334415,-55.778571394010335,9.633006,1.4068174
245.1022501108022,-55.710153709240124,12.782529,0.8027363
244.81638966481043,-55.72685869381897,12.69661,2.1406527
244.82607296033584,-55.59815160070886,12.746275,0.8968897
245.6390495832885,-55.693869097970556,11.6987,1.555131
245.53683114377756,-55.62595687982126,12.648358,2.0609465
245.38218199398233,-55.60921602804268,12.867673,0.45681286
245.36177841319787,-55.59121381633576,12.376431,2.6091242
245.76357787038097,-55.550569788280804,11.295001,1.7399254
245.17478765365598,-55.4547788848175,12.919457,2.3986502
245.16294180355132,-55.420025385138736,12.673441,3.5712442
244.9865813235511,-55.525702122944544,12.685439,0.610342
245.3051875971287,-55.32497881736916,12.96565,1.915021
245.28555349024396,-55.3239743856821,12.202981,1.6537924
245.15024073699587,-55.36305436088947,12.568316,2.338686
245.07094822796603,-55.21084308361777,12.374796,1.5881662
245.1885490252478,-55.15497918199566,12.883766,2.509859
244.05095777377096,-56.53869297177501,12.282989,1.8452806
243.91874811474582,-56.398302484919085,12.276629,1.5288639
244.06870583364952,-56.29046051937062,11.539906,2.233676
243.55798696702612,-56.395940808881456,12.515754,1.8932276
243.71569119702085,-56.220577854402705,12.6855,2.3078127
243.45808357493286,-56.105363603243504,12.212769,1.763978
243.82804342658716,-56.050874736956544,10.236949,1.741108
243.70756004338403,-56.04636634352025,12.664797,1.8589334
243.61445828756405,-56.104827942852125,11.404826,0.6774788
243.55574786451444,-55.98976364854152,12.674847,1.8273335
243.63426075779606,-55.934871999175606,11.192497,1.1559248
244.00241983365612,-56.06754658725302,12.869095,0.671587
244.20310120249601,-55.95146914522543,12.969499,2.518093
244.30500915337495,-55.933300130216004,12.316356,2.8294792
244.48338295466664,-55.940725493906086,11.906649,3.314602
244.16921868075065,-55.82978637027425,11.406603,1.4619589
244.23149252640468,-55.7966257412374,12.790395,1.6668892
244.1930207249245,-55.746125910251074,12.765695,0.8490591
243.90772235725356,-55.94611141266616,12.513775,1.5720167
243.84226925217968,-55.955309933526905,12.657902,0.5030165
243.9811199549894,-55.907161699738076,12.011081,4.209056
243.7746862663664,-55.93854302021382,12.218612,0.6028757
243.75414297221556,-55.6802150155653,8.851448,0.7026634
243.24989405971823,-56.16991091510072,12.585896,0.63358307
243.22589910536774,-56.15377105707129,11.29465,2.4707909
243.46467684931181,-56.0191899637912,12.945505,1.6198816
243.2172315189983,-55.847092351440416,11.216489,0.9537535
243.28553735539333,-55.800939519218204,11.021086,0.62227726
243.36816241988794,-55.79351124595019,12.050921,0.58258724
242.90601596525482,-56.03904769392933,12.624261,3.2448473
242.8774850293598,-55.99316920408172,12.820604,2.2105598
242.83246920458964,-55.926238191380214,12.764963,1.6863947
242.80969234336965,-55.72447371163997,12.599149,1.7381563
242.9691838736162,-55.72288738870211,12.132359,4.5261936
242.81036870337567,-55.65211854224493,11.697642,1.617856
243.0089261212424,-55.62448860605978,12.301557,0.7013874
242.9108046310029,-55.62607057340739,12.754005,0.6835222
242.92253336476415,-55.507400554353595,11.544148,0.5094795
243.60391052167301,-55.69040776049786,11.79497,0.8431082
243.7058568115165,-55.61630582063369,11.065071,2.5072737
243.5185470978106,-55.377782605893124,12.515958,1.826333
243.14884962457768,-55.59060761812954,12.760765,0.85473824
243.27299959702756,-55.444046481725316,10.540509,2.2776403
242.97490891151986,-55.46611279145536,12.670471,0.5181103
243.11260570653323,-55.32719659622324,12.36133,1.7211685
243.1527673290059,-55.178849014154544,12.976943,3.5076723
243.26386103049575,-55.151102997793366,11.6213045,1.5346155
244.52040952050314,-55.74472443673995,12.676175,2.1581736
244.54382467376823,-55.70046714215929,12.420154,2.6061716
244.3191466689761,-55.60712739490638,11.457449,1.5947123
244.59477179575325,-55.38375902920215,12.461241,0.49780178
244.4997043736653,-55.3414312692709,12.333291,5.0178165
244.28763903095384,-55.53531949887678,11.782099,2.6396494
244.26761988153342,-55.24478931175645,12.426016,0.9451513
244.73446947738626,-55.329001574209585,12.89214,3.767846
244.82865985524424,-55.23133651397235,12.338693,1.2798023
244.6936928798383,-55.23222808688926,12.9407835,1.666687
244.74116383045828,-55.12981428794341,12.728467,2.4286451
244.46741835942356,-55.21163162213658,6.800979,2.2521915
244.36007477284934,-54.95902919839729,11.488362,1.346179
244.63400895965134,-55.04058694448624,9.562356,0.0772028
244.65057890823445,-54.99655578394774,12.782225,1.5396185
244.6380283832073,-54.91597993048216,9.698017,0.09070492
244.32933650746992,-54.859149493133344,12.655842,1.5423908
243.92795377773894,-55.366761156278066,11.564027,0.30633736
243.57516706961806,-55.32374816091651,12.273957,0.4942913
243.58768874454086,-55.270031274315755,12.596561,2.1889133
243.59803246993073,-55.248102112987254,12.982682,3.3726168
244.03169343783622,-55.1886456400787,12.121775,1.9180536
243.82717493001238,-55.11365942003993,12.10924,0.632802
243.45370253974076,-55.178974660987876,12.053028,2.6766768
243.63037817280443,-55.09261840758703,11.547138,4.317271
243.75467733929668,-54.94291987177024,11.767893,0.8064852
243.47588331215792,-54.73482093272012,12.108413,0.70200443
244.1109716676771,-55.00001881096741,12.773704,1.836793
244.1194347078587,-54.90170516672774,12.778502,1.818861
244.09498786977247,-54.78488438703281,12.917293,1.9789419
243.96031555230695,-54.717535583673325,12.759662,1.7824001
243.7911647458027,-54.89781947232657,12.074941,2.0837488
243.8326143792121,-54.88426017875994,12.302596,1.7347927
243.68014144011465,-54.79844950389112,12.215074,1.893259
243.75416602023077,-54.793109325785174,11.135662,2.05542
243.75134400308096,-54.672522821415356,12.756132,5.3984766
243.81280270242044,-54.65703727638536,11.78836,3.5605745
243.6563082866894,-54.680657110935336,11.569756,0.3553276
243.6747294642608,-54.63028863230631,10.466688,2.3881245
243.86070494050685,-54.60321183251922,12.614827,0.56452084
243.9798119362358,-54.57122427612143,11.930882,1.8995972
244.0450757104661,-54.520274840658814,12.895153,1.7347841
243.87193922365523,-54.49226428492516,11.865176,1.4725723
246.1608378096812,-55.42593891625142,12.434212,0.56583977
246.35131515724157,-55.28609303067625,11.467888,1.9274416
245.99454729372346,-55.31258784722038,12.15132,1.5147247
246.92592204105097,-55.17014624836102,11.333051,3.3671894
246.40465690849973,-55.082147707694624,12.663256,1.972147
246.26109276050664,-55.120095417729694,11.388949,0.44726753
246.18062480433568,-55.082280975852996,12.383694,0.9262428
246.4988400820471,-55.07037321818868,12.148626,1.6276217
246.48179156677406,-55.00691719758033,12.698444,1.0315857
246.39644776812108,-54.954891508239285,12.465727,1.7558479
245.5667715395379,-55.275197177253624,12.473601,4.377676
245.75352413035785,-55.19674408525242,12.638236,1.897089
245.76280518297168,-55.15820787459763,12.442426,0.6567793
245.23600195908782,-54.92066157422147,11.648647,2.7276592
245.9295911887054,-54.977191132668786,12.569881,1.5059175
246.07695600221146,-54.98096517292582,12.818748,1.5500803
245.8372632871028,-54.879296305592604,12.434847,0.5248251
245.98174011689682,-54.82298773360716,12.762532,1.079732
245.81077381605144,-54.79266085345266,12.457139,1.569787
246.17876122521474,-54.821161029607055,12.658974,1.5093794
245.94928089785327,-54.667226608800874,12.603391,1.5923424
245.6168939640193,-54.85104422404145,11.951294,2.0694962
245.62863422347385,-54.69870915709893,12.874538,1.7034397
245.77463402835434,-54.670570215726265,12.917316,3.1286716
245.82088096535483,-54.59767517362101,11.913216,0.5285082
245.59432895550688,-54.42828560599675,12.844354,2.4467812
245.60700780353395,-54.39828939868648,11.895213,2.8832188
245.62715144718078,-54.36738647837952,11.851087,2.7079515
245.62789797789856,-54.360329584581294,12.177651,4.457199
245.3891039715685,-57.308315509949026,12.358071,1.5302858
245.5112175753872,-57.23931199992685,12.012018,1.8702669
245.51557910784382,-57.1940194325255,12.378495,1.3604593
245.44057910222466,-56.99912140163038,10.700418,4.879442
245.47397594011326,-56.93980434534713,12.615786,1.4116764
245.3841746847073,-56.901845289816784,12.788444,1.471077
245.4234344521787,-56.864717653762206,12.617529,0.92179966
245.01985201613152,-57.12063603365875,12.659005,2.642477
245.03835483271524,-57.03545110582569,11.803265,1.8651304
245.7707610036829,-56.85084728763052,12.852683,0.72757816
245.50792533405075,-56.882512467195795,12.70458,0.6824827
245.55961148195428,-56.679036491809505,12.6728945,0.76605225
245.74010309993508,-56.72852479847945,11.603617,1.912015
245.78639248581445,-56.71311615588045,12.02984,1.498889
245.95745773295357,-56.63712103283114,11.443812,1.3873653
245.9225341541113,-56.63635863851062,12.586287,1.6026897
245.6281962121658,-56.50655315354722,12.185186,3.0358524
245.31142295222116,-56.68362075935403,12.427863,0.5708685
245.2872193001326,-56.67377397074646,12.6725445,1.4573689
245.36697275914202,-56.62993245681762,11.934611,1.3947115
245.47971021657523,-56.48910120239192,12.799516,0.91576004
245.35605416963122,-56.33701511502142,12.429253,1.7042255
244.66645187375002,-56.99060570389538,12.854616,1.5943842
244.68529890468477,-56.94483556230742,12.797949,0.81894016
244.6129342515051,-56.87123799785965,12.678305,1.5838957
244.9249590388849,-56.620076096723594,12.813431,2.7626915
244.69987584766716,-56.64279742947084,11.581636,2.085473
244.23175761966363,-56.75221185560554,12.474169,2.4226494
244.27241637847578,-56.7381393137414,12.983425,0.66747856
244.16600289244684,-56.722025962748134,10.67816,1.7634745
244.1722933051496,-56.71388930650678,12.798261,1.5783701
244.04417361618303,-56.586229498798815,12.985823,1.9562283
244.38908614805578,-56.46143842428645,12.113419,0.65073967
244.5641303202594,-56.521986125764876,11.962271,1.4793577
244.28680531517026,-56.36544540836583,11.914776,1.8099022
244.2960219947985,-56.30075189864037,12.136881,1.6031857
244.89429625437336,-56.55375552083854,12.973458,1.4741411
244.78580396397444,-56.35088005534982,12.762908,1.7791834
244.93960131706044,-56.3290366470062,12.5222,2.223652
244.84368744758928,-56.22597322302431,12.568413,0.74206924
244.73280600907634,-56.30781662151467,12.881183,2.2715445
244.3499549456394,-56.23121573154765,12.978521,1.7003393
244.54846712706006,-56.221206834637,12.350733,4.7238483
244.79733864086595,-56.11806762678865,12.674527,2.211051
244.79505837108096,-56.041615163763055,12.801452,1.8241053
244.5762819713824,-56.105072014078615,9.533005,0.15730762
244.5378647787606,-55.95876019525857,12.270977,0.7608681
245.969060939588,-56.60532409289572,12.728228,0.90380955
245.9614596969973,-56.4089073450679,10.953412,0.84297085
246.0777250735582,-56.37706230793585,12.863887,1.6707268
245.92241375292554,-56.13593467746628,12.257837,1.617568
245.93165675922498,-56.13184691334187,10.973418,1.4104662
245.634773580864,-56.3967064198057,12.386582,1.0798168
245.53266021222447,-56.32906088709759,12.50854,1.511239
245.68487465461013,-56.26913788662602,12.623565,1.4195023
245.4766943223967,-56.25236681105675,12.618001,0.6204529
245.53943389479224,-56.17110506919149,12.608431,2.4869852
245.4476299729601,-56.08816909377562,12.194485,4.010515
245.56916835668247,-56.13397943586769,12.90907,2.55857
245.51709445339594,-55.998766779487454,12.67988,2.4972334
245.66905810835752,-55.97496426806937,12.330113,2.2360926
246.06736888685325,-56.05462550100003,7.8128433,0.7399144
246.01713820278513,-55.99594869150206,12.622961,2.3992767
245.98308086045205,-56.032198539929645,11.463401,1.6938868
245.88750078207798,-56.033010373594756,11.043528,0.90601826
245.61081751032594,-55.841675472656725,10.038904,1.4668016
245.9723253821662,-55.826214800639136,12.688627,1.7423649
245.25150907235084,-55.756494793590804,12.620459,1.5927792
244.93672250037224,-55.82254353168754,11.988181,1.8985214
244.69002323127984,-55.88057557906694,12.811585,1.6686707
244.65935054619104,-55.86107405682659,12.619174,0.8528471
244.6366780051102,-55.82246403208708,11.57527,1.8872166
244.64746835482072,-55.81609639774036,11.00028,0.7643299
244.6358219660581,-55.78632187050722,12.990377,1.5655231
244.9049484084996,-55.686876916982456,11.077715,2.067648
244.79192346794557,-55.60035466473367,12.706418,0.48142052
244.97511256282274,-55.63698347399874,9.462715,1.6116495
244.89414277519145,-55.63026001965946,11.753696,0.4236555
245.46391867257543,-55.66982812913169,11.57353,2.1803637
245.39099213381786,-55.57083082205156,12.971277,1.6210213
245.68859333402972,-55.563000165110964,12.672453,4.6288815
245.7331740246071,-55.55994096204141,12.419046,1.8805962
245.5008844641904,-55.46204557306129,10.341763,1.2423744
245.17385769089532,-55.54221390124326,11.978877,1.8995266
245.2133328251347,-55.552314684882724,11.346561,2.8337908
245.03703997816254,-55.41787021107095,12.443388,0.85257435
245.3658347428798,-55.40654811284051,12.182353,2.0148296
245.0450414461968,-55.3307253273742,12.499883,0.3953266
243.87511368221138,-56.56469523752728,12.328009,0.39855862
244.04973247411843,-56.4435267228452,12.129052,1.5203285
243.98655838479525,-56.452622914833306,12.952635,0.8825455
243.92433438441464,-56.44582835805426,12.764325,3.5979462
243.67475809559295,-56.421918189134736,12.964459,0.5197029
243.95513606522573,-56.36633966569993,12.369275,1.6615524
244.17106749317804,-56.29818805829692,12.603773,2.4440956
244.194750969081,-56.27873126336647,12.778997,4.1715784
244.23998806096154,-56.29195269373037,12.979214,0.51377106
243.38168563351152,-56.270497650486504,12.665469,1.9180403
243.30493736813682,-56.25697642101285,12.597946,1.6232519
243.52721806890017,-56.244284198920646,12.225445,3.723011
243.48731534156374,-56.20224125390357,12.02554,1.6003008
243.8164107044385,-56.041857374649204,11.706284,3.521307
243.69136934427343,-56.052182518812636,12.48943,0.9813709
243.6943341719054,-55.95090003218546,11.925329,0.7300558
244.05352294939334,-56.005628923657866,11.829186,0.62498
244.50626512372926,-55.87844950554239,9.731776,2.8479176
244.28598571525023,-55.90595028383857,11.596294,1.555048
243.788784523987,-55.87630615799349,10.811139,1.9849882
243.7384627892938,-55.796829392759875,12.212054,1.9224844
244.037400537958,-55.85049827640143,11.628048,1.5872622
244.1688297774591,-55.73809947273582,12.968829,1.6419134
243.34623356795325,-56.113928013256206,12.513562,0.9196272
243.3806682925282,-56.04312671541129,12.455522,2.1500444
243.34188491543736,-56.03397512037369,12.789486,1.7386713
243.00820176263602,-56.09215519086429,12.546757,1.7349215
243.45972956016652,-56.02345090700574,12.052836,1.64324
243.3108106157508,-55.74435038518892,11.996291,0.6468916
242.84675411568375,-55.97563157599926,11.464626,4.9535084
242.9924326007025,-55.82930040516343,12.444294,1.932663
242.7510780611547,-55.72263466056057,12.747234,2.6474323
243.65997948027143,-55.54421974786154,11.60255,3.4521093
243.53277233998514,-55.53181705610675,12.10519,0.7975998
243.45942545159141,-55.52908785960733,12.978946,2.4995747
243.47923604192516,-55.372411833282584,12.954864,0.7385216
243.2471093879411,-55.2369824199171,12.972895,0.96042347
244.57342800135368,-55.65648324987244,12.899117,0.51804256
244.74397190870127,-55.56671093703343,12.735997,1.7287874
244.55719800977974,-55.34866724085153,10.470022,2.0683784
244.2058749780504,-55.504813283708486,12.361209,1.273469
244.21287265609234,-55.41822947001108,12.709534,2.3976507
243.94548918443238,-55.40548969917738,12.065264,1.2723188
244.41408019386049,-55.31148332384818,12.903764,0.94351864
244.06615796696676,-55.237014567859596,11.865942,0.56474113
244.13622067034373,-55.2172556943507,12.772358,2.2787895
244.72239577187148,-55.27159036387074,8.235409,1.3462625
245.07185970120776,-55.128434004088994,11.41373,0.87265396
244.96811240338977,-55.05469517410266,11.570933,0.4335146
244.74402524340002,-55.02366559325011,12.847603,0.39719868
244.45595953615347,-55.05064831088047,12.425774,5.068351
244.2979589407576,-55.11691033531461,12.309558,0.6316242
244.2000141161611,-55.08011315543721,12.611723,1.3778439
244.65846118873654,-54.8665753153316,12.313891,1.9397125
244.52043492109848,-54.87038433340665,9.147516,2.9217277
243.97741961159403,-55.32845584563362,11.456795,1.7944622
243.58054812982985,-55.24873447059521,11.953824,4.1865854
243.7809701025844,-55.24033407588287,11.506823,1.81565
243.88762308751805,-55.1676500238596,12.812692,2.764618
243.29349925897,-55.05634015394042,12.245593,2.3108587
243.2927984731692,-55.00746868709905,12.826836,0.8474188
243.64124433536162,-55.03272059297121,11.825578,0.6397886
243.6251757143404,-54.91011261946166,12.066647,3.757207
243.3612732994995,-54.924748642564474,12.5288,1.5689678
244.11959983612562,-55.006941263777186,12.175473,4.1932697
244.13636544582332,-54.92321678918912,12.062977,1.7729902
243.94911009796624,-54.992752201394914,12.052663,2.1526756
243.87293250435368,-54.8745016519968,12.119586,2.4958277
244.07399077128827,-54.87642613893642,12.727656,1.5711994
244.0849063554928,-54.84632541533152,12.973562,2.2958775
243.95702450522705,-54.84122118387411,11.382812,1.5743008
244.22098928949458,-54.717802908893916,11.444327,3.3892088
244.1332588296222,-54.63553470693732,12.302319,2.7472315
244.07132480921382,-54.59352098996266,12.994043,0.7813997
243.80536067188172,-54.898948866038246,12.733749,1.5277462
243.7948005352011,-54.741949171964116,11.630506,3.013627
243.99166972514678,-54.60444936609909,11.926189,2.3945599
244.03760569962583,-54.58025638551857,12.411087,1.087635
244.00750916526255,-54.56408999518378,12.767684,1.6034565
243.8457675129068,-54.44211598484063,12.689014,2.0847797
246.51555910350217,-55.7982837488556,12.519158,2.3505268
246.5354812618812,-55.77269441710546,11.027698,0.902092
246.4980766287504,-55.73143815717631,12.972039,2.6634493
246.52947864611818,-55.686984873118135,12.872778,2.026804
246.26708108576233,-55.646704733982205,11.829876,2.9058065
246.60794456231622,-55.563875287239654,12.774143,2.105383
246.55696101787163,-55.472581210968585,12.325491,0.8915825
246.38922155951204,-55.52528172876326,11.86954,1.6367311
246.47875213525143,-55.4330250096061,11.256246,0.8573246
246.46592447609692,-55.35467968058111,12.5420265,2.3186083
