ra,dec,phot_g_mean_mag,bp_rp
252.82379473859984,-24.310271704594907,12.29206,0.94687366
253.14697102826693,-24.16231849411629,12.445275,1.1531296
253.06317836720265,-24.053407071088728,12.377435,1.1867371
253.56813682262214,-24.15305616495897,11.830106,0.8761444
253.52131793262504,-24.13666882229423,12.299889,1.530344
253.50608778908656,-24.146143741479776,9.555002,1.650094
253.59809449505087,-24.041997183912653,12.452207,0.91537094
252.78790072332163,-24.22046729916215,11.146755,1.4743986
253.2984990200246,-23.600757939867542,10.519534,1.7112198
252.9216274612253,-23.531823338444976,12.330319,2.321351
253.79344015214042,-23.76552111898723,12.870616,1.4562292
254.23947956066027,-23.50682511142789,12.075405,1.5461817
254.39625941364662,-23.242854291736446,11.901918,2.7111177
254.388383528951,-23.243546604668026,12.434211,1.8909883
254.15189399212056,-23.21200578657816,10.291022,0.37364864
254.19986955997038,-23.150213339659082,6.460239,-0.13237
254.13671972132798,-23.09435390109618,11.270966,0.79273796
253.37592415563032,-23.517366983077657,10.8626995,2.020934
253.5959800112612,-23.3852579292731,11.944007,1.459939
253.37326961627252,-23.19106466799958,12.020725,1.8771782
253.4820844271828,-23.035882017125903,12.668514,1.2190008
253.7842089309383,-23.117019547489846,12.317206,1.8669434
253.844378627053,-22.910501996197052,12.175124,2.2398825
253.99959997467974,-22.828278952210425,11.869575,1.5645676
252.4714535974698,-23.52152476399382,12.98458,1.3238401
252.49772291654324,-23.447863875246618,12.401107,
252.497901393503,-23.44809485860061,8.218575,1.5109944
252.08776153208822,-23.467681983581013,12.030476,1.9127645
252.135565285013,-23.348856155177277,12.901349,1.9652281
251.96315821876598,-23.254515888733668,12.862234,2.118497
252.42650898779888,-23.158566872917724,12.404776,2.216281
252.45279710720789,-23.024644920089667,12.902091,1.6835365
252.67791076692708,-22.964665026724727,10.528073,3.8236084
253.04139562839657,-23.029555240657565,11.642459,4.1389246
253.03159978542186,-22.79622044266748,12.746531,1.1759472
253.157035790598,-22.7147841722802,8.218133,2.3387437
253.3192842949692,-22.825487335841444,12.757119,1.2685366
252.65291950093538,-22.78058671162722,10.580341,3.2722454
253.05036033333855,-22.70874433811491,12.865432,0.9335766
252.643514312939,-22.71166413167441,11.9198265,1.6510763
253.1315714804796,-22.6468639178733,11.674879,2.7950573
253.07873499182702,-22.070189411851086,11.792035,1.085228
254.66805265057243,-23.144293448833547,12.381528,1.7180634
254.74797311611522,-22.90752529895225,12.274109,1.5683823
254.550419424157,-22.933320715094165,11.994479,1.9096327
254.83691112745555,-22.806754398894178,10.498981,1.8040543
254.9005957189639,-22.778613313010553,12.965562,1.938015
255.03859943165818,-22.792239859475224,10.343938,1.8373804
254.12089281496932,-22.473496050867325,12.651695,1.5770082
254.65791512793191,-22.471046441756272,12.546045,2.0719547
254.22282286225249,-22.376244146943993,12.065631,0.9987774
254.38767083083576,-22.28768302831787,11.593566,0.80299187
254.48406167177524,-22.27238209299897,9.906667,1.373354
254.63660136158208,-22.133362083925665,12.981596,1.4946947
255.51263827775367,-22.378448514672943,12.489701,2.977953
255.16598749476594,-22.15110007982182,11.78883,0.8390064
254.7999050322977,-22.265919268629794,12.118686,2.096717
254.81026137372572,-22.169097100666363,10.427506,1.0134554
255.07423308888,-22.136129907356327,12.34958,2.0223675
255.1409988453836,-22.021941503413256,12.726773,1.650259
254.68500159562885,-22.163585400330454,11.364971,1.6108484
254.81983119081383,-21.947714418790305,11.585717,0.42442322
254.97935371460602,-21.896238237502036,12.672746,1.5204554
255.0054477948434,-21.88104618538482,11.771502,2.2174492
255.22111882180403,-21.948505504593076,11.271673,1.4200335
255.45850563293436,-21.786300590221757,12.89882,0.80204487
255.19665751675163,-21.735288380832458,12.915164,0.8438988
255.22365375942888,-21.668498103879575,12.114416,1.4032993
253.60996961988533,-22.319406725299277,11.122108,2.5332289
253.55928209462724,-22.341873665124872,12.872475,1.1796207
254.33415776476843,-22.204312608726262,11.979711,1.5309868
254.4659227204291,-22.01066612699177,10.937334,1.47962
254.48187022666625,-21.98827867512198,12.589395,1.0515308
254.26632034199088,-21.94372227828076,12.574682,2.0599537
254.0476918228334,-21.897375567067776,10.961577,0.8688574
254.21738161461147,-21.776764894915473,9.638297,0.73705196
254.1718755326437,-21.778397670806257,12.075371,1.728754
253.6536270777836,-22.087267305168155,12.472923,1.6415796
253.6106220892344,-22.05752934333173,12.452925,0.9383497
253.63176952680874,-21.88972692603888,12.936191,1.503191
253.8005836643151,-21.766021969563646,12.427026,2.8983088
253.6275028477946,-21.628248933810475,12.84633,1.6130495
253.84671897181826,-21.677562693774806,8.923203,1.3872261
254.83140950523273,-21.67226683032196,11.75459,1.4264545
254.6987722254509,-21.61101855894338,12.564769,2.6959238
254.45831683989286,-21.645988641468673,11.170858,1.7659645
254.49543589424908,-21.558360234738434,12.139227,1.898881
254.95959169659847,-21.560242748804363,9.616003,0.78276634
